OrderID,OrderDate,Supplier,Product,Quantity, Unit_Price ,Delivery_Days,Warehouse,Customer_Region,Order_Status, Total Sales ,Delivery_Status
APX1377,3/1/2025,Dangote,Laptop,131,850000,3,Lagos,South-South,Delivered,111350000,Fast
APX1246,12/1/2025,Bua,Sugar,29,850000,11,Port Harcourt,South-South,Cancelled,24650000,Late
APX1146,11/1/2025,Dangote,Soap,30,20142,14,Port Harcourt,South-South,Delivered,604260,Late
APX1322,2/10/2025,Nestle,Laptop,50,6500,95,Lagos,North-East,Delivered,325000,Late
APX1393,5/26/2025,Nestle,Noodles,2500,27614,3,Unknown,South-South,Returned,69035000,Fast
APX1046,7/1/2025,Dangote,Laptop,30,800,3,Abuja,South-South,Delivered,24000,Fast
APX1235,6/15/2025,Nestle,Laptop,2500,6500,3,Port Harcourt,South-West,Pending,16250000,Fast
APX1293,7/20/2025,Dangote,Laptop,2500,44500,3,Port Harcourt,South-South,Delivered,111250000,Fast
APX1287,11/13/2025,Bua,Cement,197,4500,7,Unknown,North-East,Pending,886500,Normal
APX1271,12/20/2025,Dangote,Cement,2500,800,95,Abuja,North-East,Cancelled,2000000,Late
APX1300,2/17/2025,Unilever,Cement,30,4500,5,Unknown,South-South,Delivered,135000,Normal
APX1224,10/29/2025,Bua,Rice,30,6500,95,Port Harcourt,South-South,Cancelled,195000,Late
APX1340,11/17/2025,Bua,Sugar,68,850000,95,Unknown,South-South,Returned,57800000,Late
APX1379,12/28/2025,Pz,Laptop,2500,6500,2,Port Harcourt,North-East,Returned,16250000,Fast
APX1232,4/8/2025,Bua,Noodles,2500,800,95,Lagos,South-South,Delivered,2000000,Late
APX1297,12/29/2025,Bua,Cement,12,33492,3,Lagos,South-South,Delivered,401904,Fast
APX1366,7/19/2025,Nestle,Cement,2500,9359,95,Port Harcourt,South-South,Delivered,23397500,Late
APX1170,9/7/2025,Dangote,Laptop,2500,800,95,Abuja,South-West,Cancelled,2000000,Late
APX1393,2/11/2025,Dangote,Cement,2500,850000,3,Lagos,South-South,Cancelled,2125000000,Fast
APX1024,12/17/2025,Pz,Laptop,30,6500,95,Lagos,South-South,Cancelled,195000,Late
APX1392,4/30/2025,Unilever,Noodles,12,850000,9,Abuja,South-South,Returned,10200000,Late
APX1023,10/2/2025,Dangote,Noodles,12,4500,95,Lagos,South-South,Cancelled,54000,Late
APX1003,11/29/2025,Nestle,Sugar,12,6500,3,Abuja,South-South,Cancelled,78000,Fast
APX1358,7/11/2025,Bua,Noodles,2500,30278,95,Port Harcourt,South-South,Delivered,75695000,Late
APX1169,7/20/2025,Bua,Laptop,30,800,6,Lagos,South-South,Delivered,24000,Normal
APX1050,11/18/2025,Unilever,Laptop,12,4942,3,Port Harcourt,South-South,Delivered,59304,Fast
APX1417,2/13/2025,Unilever,Cement,30,4500,14,Port Harcourt,North-East,Delivered,135000,Late
APX1352,6/10/2025,Bua,Laptop,2500,850000,95,Port Harcourt,South-South,Pending,2125000000,Late
APX1223,5/7/2025,Unilever,Cement,2500,850000,13,Port Harcourt,South-South,Delivered,2125000000,Late
APX1294,1/15/2025,N/A,Sugar,32,800,3,Abuja,South-South,Pending,25600,Fast
APX1082,6/13/2025,Dangote,Sugar,2500,850000,4,Port Harcourt,South-South,Pending,2125000000,Normal
APX1141,12/11/2025,Dangote,Soap,30,27093,3,Lagos,South-South,Delivered,812790,Fast
APX1028,9/14/2025,Nestle,Rice,2500,800,3,Port Harcourt,South-West,Delivered,2000000,Fast
APX1190,10/27/2025,Pz,Laptop,2500,6500,3,Unknown,North-East,Pending,16250000,Fast
APX1261,12/27/2025,Pz,Cement,12,850000,95,Port Harcourt,South-South,Delivered,10200000,Late
APX1294,8/3/2025,Bua,Soap,30,6500,3,Lagos,South-South,Delivered,195000,Fast
APX1386,1/16/2025,Nestle,Cement,12,39428,3,Unknown,South-West,Delivered,473136,Fast
APX1362,5/29/2025,Bua,Laptop,2500,6500,95,Kano,North-East,Cancelled,16250000,Late
APX1423,12/12/2025,Bua,Laptop,12,6500,2,Kano,South-South,Returned,78000,Fast
APX1188,12/15/2025,Bua,Noodles,30,15779,3,Port Harcourt,South-South,Delivered,473370,Fast
APX1204,6/23/2025,N/A,Laptop,28,23317,14,Lagos,South-South,Delivered,652876,Late
APX1105,6/2/2025,Dangote,Rice,12,4500,7,Unknown,North-East,Delivered,54000,Normal
APX1254,7/20/2025,Nestle,Laptop,173,800,95,Lagos,South-West,Delivered,138400,Late
APX1363,1/28/2025,Bua,Laptop,163,850000,3,Lagos,South-West,Delivered,138550000,Fast
APX1210,9/29/2025,N/A,Laptop,30,850000,11,Lagos,North-East,Delivered,25500000,Late
APX1265,6/15/2025,Nestle,Rice,12,11991,3,Lagos,South-South,Delivered,143892,Fast
APX1251,5/10/2025,Bua,Cement,2500,6500,95,Kano,North-East,Pending,16250000,Late
APX1247,4/2/2025,Nestle,Noodles,12,800,9,Abuja,South-South,Delivered,9600,Late
APX1061,7/10/2025,Bua,Cement,25,4500,3,Port Harcourt,South-South,Delivered,112500,Fast
APX1007,10/14/2025,N/A,Rice,26,4500,95,Lagos,South-South,Cancelled,117000,Late
APX1145,1/15/2025,Dangote,Soap,30,33206,95,Abuja,South-South,Returned,996180,Late
APX1114,2/27/2025,N/A,Sugar,2500,2289,3,Lagos,South-South,Delivered,5722500,Fast
APX1218,7/29/2025,Dangote,Laptop,30,850000,3,Kano,South-West,Delivered,25500000,Fast
APX1065,1/13/2025,Nestle,Laptop,12,850000,12,Port Harcourt,South-South,Delivered,10200000,Late
APX1071,8/2/2025,Dangote,Cement,154,850000,13,Lagos,South-South,Returned,130900000,Late
APX1232,8/31/2025,Bua,Laptop,30,4500,14,Port Harcourt,North-East,Delivered,135000,Late
APX1264,3/30/2025,Unilever,Noodles,183,8670,3,Port Harcourt,South-West,Cancelled,1586610,Fast
APX1203,10/13/2025,Dangote,Sugar,12,32861,12,Lagos,South-South,Returned,394332,Late
APX1024,12/23/2025,Pz,Laptop,2500,8888,95,Abuja,South-South,Delivered,22220000,Late
APX1031,7/6/2025,Pz,Noodles,12,800,3,Lagos,South-South,Cancelled,9600,Fast
APX1311,11/21/2025,Unilever,Sugar,2500,6500,3,Lagos,South-South,Delivered,16250000,Fast
APX1219,4/3/2025,Dangote,Noodles,146,4500,95,Port Harcourt,South-West,Pending,657000,Late
APX1175,9/23/2025,Dangote,Laptop,2500,850000,11,Abuja,South-South,Delivered,2125000000,Late
APX1391,5/17/2025,Bua,Soap,2500,800,3,Port Harcourt,South-South,Delivered,2000000,Fast
APX1223,5/7/2025,Dangote,Sugar,12,800,3,Port Harcourt,South-West,Returned,9600,Fast
APX1307,4/14/2025,Nestle,Cement,30,800,5,Port Harcourt,South-West,Delivered,24000,Normal
APX1041,12/16/2025,N/A,Laptop,192,800,3,Lagos,South-South,Returned,153600,Fast
APX1263,7/14/2025,Unilever,Laptop,30,850000,1,Port Harcourt,South-South,Returned,25500000,Fast
APX1364,9/30/2025,Dangote,Laptop,2500,4054,10,Port Harcourt,South-South,Delivered,10135000,Late
APX1309,9/2/2025,Unilever,Laptop,171,4500,9,Kano,South-South,Pending,769500,Late
APX1375,9/19/2025,Pz,Laptop,30,4500,95,Lagos,South-South,Pending,135000,Late
APX1281,5/18/2025,N/A,Noodles,2500,6500,95,Port Harcourt,South-South,Delivered,16250000,Late
APX1112,9/26/2025,Dangote,Cement,2500,4500,8,Lagos,South-South,Returned,11250000,Late
APX1084,10/2/2025,Dangote,Noodles,12,800,3,Lagos,South-South,Delivered,9600,Fast
APX1308,8/23/2025,Dangote,Soap,2500,6500,95,Unknown,South-South,Delivered,16250000,Late
APX1044,3/4/2025,Bua,Noodles,102,800,9,Port Harcourt,South-South,Delivered,81600,Late
APX1314,1/20/2025,Bua,Soap,12,6500,2,Lagos,South-South,Pending,78000,Fast
APX1082,3/5/2025,Nestle,Rice,30,850000,95,Abuja,South-West,Cancelled,25500000,Late
APX1325,7/9/2025,Unilever,Cement,160,850000,3,Lagos,South-West,Delivered,136000000,Fast
APX1059,2/22/2025,Dangote,Noodles,12,800,1,Lagos,South-South,Delivered,9600,Fast
APX1081,4/12/2025,Dangote,Rice,2500,4500,95,Port Harcourt,South-West,Returned,11250000,Late
APX1348,1/29/2025,Nestle,Laptop,198,42794,1,Port Harcourt,South-West,Delivered,8473212,Fast
APX1140,6/21/2025,Pz,Soap,30,39357,7,Lagos,South-West,Cancelled,1180710,Normal
APX1013,8/2/2025,Bua,Laptop,12,47281,95,Port Harcourt,North-East,Pending,567372,Late
APX1418,8/3/2025,Dangote,Cement,12,850000,3,Port Harcourt,South-West,Delivered,10200000,Fast
APX1028,3/13/2025,Dangote,Cement,30,850000,3,Lagos,South-West,Delivered,25500000,Fast
APX1150,3/6/2025,Unilever,Rice,160,4500,3,Kano,North-East,Delivered,720000,Fast
APX1102,5/23/2025,Unilever,Laptop,2500,40605,3,Lagos,South-South,Delivered,101512500,Fast
APX1403,4/17/2025,Dangote,Laptop,161,21985,95,Abuja,South-South,Pending,3539585,Late
APX1408,1/16/2025,Nestle,Rice,12,4500,3,Port Harcourt,South-South,Delivered,54000,Fast
APX1084,2/23/2025,Dangote,Rice,12,39781,10,Lagos,South-South,Returned,477372,Late
APX1382,2/3/2025,Nestle,Laptop,2500,850000,3,Abuja,South-South,Delivered,2125000000,Fast
APX1168,9/16/2025,Bua,Sugar,30,6500,4,Lagos,South-South,Delivered,195000,Normal
APX1207,1/15/2025,Nestle,Laptop,2500,4500,95,Lagos,South-South,Pending,11250000,Late
APX1279,9/7/2025,N/A,Laptop,12,1702,95,Abuja,South-South,Cancelled,20424,Late
APX1385,12/7/2025,Pz,Soap,30,800,5,Abuja,South-South,Delivered,24000,Normal
APX1398,10/15/2025,Dangote,Sugar,2500,4500,95,Port Harcourt,South-South,Returned,11250000,Late
APX1029,2/3/2025,Dangote,Laptop,2500,800,3,Lagos,South-West,Delivered,2000000,Fast
APX1405,12/2/2025,N/A,Soap,12,850000,3,Port Harcourt,South-West,Delivered,10200000,Fast
APX1044,3/7/2025,Nestle,Cement,12,850000,95,Lagos,South-West,Delivered,10200000,Late
APX1093,12/31/2025,Bua,Laptop,12,800,3,Unknown,South-South,Delivered,9600,Fast
APX1033,5/1/2025,N/A,Noodles,152,6500,3,Port Harcourt,North-East,Delivered,988000,Fast
APX1083,10/10/2025,Dangote,Cement,12,4500,95,Port Harcourt,South-South,Returned,54000,Late
APX1241,5/19/2025,Bua,Laptop,2500,800,3,Port Harcourt,South-South,Returned,2000000,Fast
APX1224,4/19/2025,Bua,Cement,30,850000,11,Lagos,South-South,Delivered,25500000,Late
APX1000,3/12/2025,Dangote,Laptop,30,16349,10,Port Harcourt,South-West,Delivered,490470,Late
APX1404,8/30/2025,Dangote,Noodles,2500,800,95,Port Harcourt,South-South,Delivered,2000000,Late
APX1307,4/6/2025,N/A,Laptop,12,6500,3,Abuja,South-South,Returned,78000,Fast
APX1184,1/31/2025,Pz,Laptop,30,6500,95,Unknown,South-West,Cancelled,195000,Late
APX1384,11/4/2025,Nestle,Laptop,2500,4500,95,Port Harcourt,North-East,Cancelled,11250000,Late
APX1130,4/11/2025,N/A,Cement,106,4500,95,Port Harcourt,South-South,Pending,477000,Late
APX1026,2/19/2025,Nestle,Laptop,12,4500,3,Port Harcourt,South-South,Cancelled,54000,Fast
APX1417,6/9/2025,Dangote,Laptop,12,4500,95,Port Harcourt,South-West,Returned,54000,Late
APX1370,3/17/2025,Dangote,Laptop,12,6500,3,Unknown,South-South,Pending,78000,Fast
APX1199,7/25/2025,Dangote,Laptop,30,4500,3,Lagos,South-South,Cancelled,135000,Fast
APX1006,8/31/2025,Bua,Laptop,30,4500,95,Lagos,North-East,Returned,135000,Late
APX1421,5/18/2025,Dangote,Cement,147,6500,95,Port Harcourt,South-West,Cancelled,955500,Late
APX1394,9/9/2025,Bua,Cement,12,800,3,Port Harcourt,North-East,Pending,9600,Fast
APX1146,11/15/2025,Dangote,Noodles,30,850000,3,Port Harcourt,North-East,Pending,25500000,Fast
APX1331,12/23/2025,N/A,Cement,2500,4500,95,Port Harcourt,South-South,Delivered,11250000,Late
APX1401,1/22/2025,Dangote,Laptop,12,850000,3,Abuja,South-South,Returned,10200000,Fast
APX1009,5/22/2025,Bua,Laptop,44,18704,3,Lagos,South-South,Pending,822976,Fast
APX1287,2/13/2025,N/A,Laptop,160,6500,3,Abuja,South-South,Pending,1040000,Fast
APX1170,11/5/2025,Pz,Noodles,2500,6500,3,Lagos,South-West,Returned,16250000,Fast
APX1330,8/6/2025,Dangote,Soap,30,4500,8,Lagos,South-South,Cancelled,135000,Late
APX1369,4/29/2025,Unilever,Noodles,12,6500,3,Port Harcourt,North-East,Delivered,78000,Fast
APX1210,10/6/2025,Nestle,Laptop,12,6500,95,Unknown,North-East,Delivered,78000,Late
APX1135,6/24/2025,Dangote,Soap,30,39745,3,Lagos,South-South,Delivered,1192350,Fast
APX1382,12/16/2025,Dangote,Noodles,2500,13165,3,Port Harcourt,South-South,Delivered,32912500,Fast
APX1284,8/2/2025,Dangote,Cement,12,800,3,Lagos,North-East,Pending,9600,Fast
APX1288,3/10/2025,Pz,Soap,125,4500,3,Lagos,North-East,Delivered,562500,Fast
APX1366,3/29/2025,Dangote,Soap,12,4500,3,Abuja,South-South,Pending,54000,Fast
APX1268,2/2/2025,Dangote,Noodles,30,42700,3,Port Harcourt,South-South,Delivered,1281000,Fast
APX1215,1/26/2025,Bua,Soap,2500,800,95,Port Harcourt,South-South,Delivered,2000000,Late
APX1266,12/29/2025,Nestle,Cement,2500,800,8,Port Harcourt,North-East,Delivered,2000000,Late
APX1357,2/27/2025,Nestle,Rice,2500,800,6,Abuja,South-South,Delivered,2000000,Normal
APX1380,6/18/2025,N/A,Laptop,2500,4500,95,Port Harcourt,South-West,Delivered,11250000,Late
APX1294,10/1/2025,Dangote,Laptop,2500,800,3,Port Harcourt,South-South,Delivered,2000000,Fast
APX1282,12/26/2025,Nestle,Rice,2500,850000,4,Lagos,South-South,Returned,2125000000,Normal
APX1225,9/6/2025,Pz,Laptop,2500,6500,95,Port Harcourt,South-South,Delivered,16250000,Late
APX1360,12/1/2025,Bua,Soap,136,850000,9,Port Harcourt,South-South,Delivered,115600000,Late
APX1199,12/25/2025,Pz,Soap,2500,48218,3,Port Harcourt,South-South,Delivered,120545000,Fast
APX1254,3/6/2025,Nestle,Rice,12,4500,5,Kano,South-South,Delivered,54000,Normal
APX1197,11/30/2025,Dangote,Laptop,12,4500,4,Lagos,South-South,Pending,54000,Normal
APX1073,3/31/2025,Pz,Cement,30,6500,3,Lagos,South-South,Delivered,195000,Fast
APX1142,12/15/2025,Dangote,Rice,30,800,5,Port Harcourt,North-East,Delivered,24000,Normal
APX1073,5/20/2025,Dangote,Rice,96,4500,2,Port Harcourt,South-South,Returned,432000,Fast
APX1290,6/22/2025,Bua,Rice,12,7649,3,Lagos,South-South,Delivered,91788,Fast
APX1375,8/14/2025,Dangote,Noodles,30,6500,3,Port Harcourt,South-South,Delivered,195000,Fast
APX1389,10/24/2025,Dangote,Laptop,197,800,95,Port Harcourt,South-South,Delivered,157600,Late
APX1353,9/21/2025,Nestle,Noodles,12,6500,3,Lagos,North-East,Delivered,78000,Fast
APX1335,3/2/2025,Dangote,Sugar,30,800,4,Abuja,North-East,Delivered,24000,Normal
APX1244,9/28/2025,Dangote,Laptop,2500,800,3,Lagos,South-South,Delivered,2000000,Fast
APX1119,10/29/2025,Pz,Laptop,12,4500,4,Port Harcourt,South-West,Delivered,54000,Normal
APX1291,12/30/2025,Nestle,Laptop,176,800,1,Lagos,South-South,Returned,140800,Fast
APX1039,9/12/2025,Dangote,Soap,2500,800,95,Abuja,North-East,Cancelled,2000000,Late
APX1136,12/24/2025,Bua,Cement,117,800,3,Port Harcourt,South-South,Delivered,93600,Fast
APX1009,9/5/2025,Bua,Soap,2500,850000,10,Abuja,South-South,Delivered,2125000000,Late
APX1214,1/3/2025,Bua,Rice,33,800,3,Port Harcourt,South-West,Delivered,26400,Fast
APX1157,7/31/2025,Unilever,Laptop,56,4500,9,Port Harcourt,South-West,Returned,252000,Late
APX1129,11/1/2025,Dangote,Noodles,2500,850000,95,Abuja,South-South,Delivered,2125000000,Late
APX1069,11/13/2025,N/A,Sugar,12,4500,95,Port Harcourt,South-South,Delivered,54000,Late
APX1393,12/21/2025,Dangote,Laptop,30,850000,3,Unknown,South-South,Delivered,25500000,Fast
APX1423,8/27/2025,Bua,Sugar,12,9708,95,Abuja,South-South,Delivered,116496,Late
APX1112,9/3/2025,Dangote,Sugar,12,800,3,Port Harcourt,North-East,Delivered,9600,Fast
APX1365,7/6/2025,N/A,Rice,30,4500,95,Lagos,South-West,Cancelled,135000,Late
APX1313,1/3/2025,Dangote,Laptop,2500,6500,10,Kano,South-South,Delivered,16250000,Late
APX1109,12/19/2025,Bua,Noodles,2500,850000,3,Abuja,South-South,Delivered,2125000000,Fast
APX1105,12/14/2025,Dangote,Soap,12,14541,3,Unknown,South-South,Delivered,174492,Fast
APX1281,10/15/2025,Nestle,Laptop,30,850000,95,Kano,South-South,Delivered,25500000,Late
APX1239,10/8/2025,Nestle,Cement,12,23371,95,Port Harcourt,South-South,Pending,280452,Late
APX1167,3/21/2025,N/A,Cement,2500,6500,3,Kano,South-South,Delivered,16250000,Fast
APX1277,7/18/2025,Dangote,Noodles,30,6970,3,Abuja,South-South,Cancelled,209100,Fast
APX1231,12/1/2025,Pz,Laptop,12,4500,3,Port Harcourt,South-West,Delivered,54000,Fast
APX1410,11/27/2025,Dangote,Noodles,12,800,3,Kano,South-South,Delivered,9600,Fast
APX1156,8/11/2025,Pz,Rice,12,14624,95,Unknown,South-South,Delivered,175488,Late
APX1281,1/26/2025,Dangote,Rice,40,850000,95,Abuja,South-South,Delivered,34000000,Late
APX1344,9/29/2025,Nestle,Rice,12,6500,10,Unknown,South-South,Delivered,78000,Late
APX1293,5/7/2025,Dangote,Laptop,30,850000,95,Port Harcourt,South-South,Cancelled,25500000,Late
APX1371,10/30/2025,N/A,Noodles,30,800,3,Lagos,South-South,Delivered,24000,Fast
APX1138,11/3/2025,Pz,Cement,30,6500,8,Lagos,North-East,Delivered,195000,Late
APX1308,4/20/2025,Nestle,Sugar,2500,4500,3,Port Harcourt,North-East,Delivered,11250000,Fast
APX1079,12/25/2025,Unilever,Soap,12,6500,2,Lagos,South-South,Delivered,78000,Fast
APX1055,9/20/2025,Pz,Laptop,12,850000,95,Port Harcourt,South-West,Delivered,10200000,Late
APX1366,10/25/2025,Bua,Noodles,30,17559,4,Kano,South-West,Delivered,526770,Normal
APX1054,9/12/2025,Pz,Sugar,12,6500,95,Lagos,South-South,Returned,78000,Late
APX1160,4/24/2025,N/A,Soap,145,800,7,Port Harcourt,South-South,Returned,116000,Normal
APX1114,10/1/2025,Nestle,Noodles,12,800,4,Lagos,South-South,Cancelled,9600,Normal
APX1395,2/28/2025,Unilever,Laptop,41,850000,3,Unknown,South-South,Delivered,34850000,Fast
APX1411,9/28/2025,Unilever,Noodles,30,26888,5,Port Harcourt,South-South,Delivered,806640,Normal
APX1065,2/13/2025,N/A,Laptop,2500,800,10,Port Harcourt,South-South,Delivered,2000000,Late
APX1315,11/11/2025,Bua,Rice,30,2837,5,Port Harcourt,South-South,Delivered,85110,Normal
APX1085,8/15/2025,Bua,Noodles,2500,800,3,Kano,South-South,Delivered,2000000,Fast
APX1318,11/28/2025,Pz,Laptop,154,6500,3,Lagos,South-South,Delivered,1001000,Fast
APX1304,11/8/2025,Bua,Laptop,30,6500,3,Abuja,South-South,Returned,195000,Fast
APX1211,6/11/2025,Bua,Sugar,196,4500,3,Lagos,South-South,Cancelled,882000,Fast
APX1028,5/12/2025,N/A,Rice,12,850000,4,Port Harcourt,South-South,Delivered,10200000,Normal
APX1006,9/2/2025,Dangote,Soap,12,46858,1,Lagos,South-West,Delivered,562296,Fast
APX1266,1/2/2025,Nestle,Laptop,30,850000,2,Port Harcourt,South-South,Delivered,25500000,Fast
APX1220,12/18/2025,Nestle,Noodles,2500,800,95,Port Harcourt,South-South,Returned,2000000,Late
APX1345,4/30/2025,N/A,Laptop,12,850000,3,Port Harcourt,North-East,Returned,10200000,Fast
APX1417,3/24/2025,N/A,Cement,2500,4500,3,Unknown,South-South,Delivered,11250000,Fast
APX1236,11/21/2025,Nestle,Noodles,30,850000,95,Kano,South-South,Cancelled,25500000,Late
APX1225,2/5/2025,Pz,Sugar,29,850000,3,Lagos,South-South,Pending,24650000,Fast
APX1335,9/18/2025,N/A,Cement,12,6500,95,Kano,South-South,Pending,78000,Late
APX1132,3/2/2025,Nestle,Laptop,75,4500,95,Port Harcourt,South-South,Delivered,337500,Late
APX1004,3/20/2025,Dangote,Laptop,30,6500,95,Unknown,South-South,Pending,195000,Late
APX1160,2/3/2025,Dangote,Sugar,2500,26653,11,Port Harcourt,South-West,Returned,66632500,Late
APX1256,5/27/2025,Dangote,Laptop,12,26731,4,Port Harcourt,South-South,Delivered,320772,Normal
APX1362,7/1/2025,Dangote,Sugar,30,46467,3,Kano,South-South,Delivered,1394010,Fast
APX1213,10/11/2025,Dangote,Sugar,136,4500,3,Port Harcourt,South-West,Pending,612000,Fast
APX1214,5/4/2025,Nestle,Cement,42,6500,95,Port Harcourt,South-South,Returned,273000,Late
APX1210,2/2/2025,Nestle,Cement,30,850000,95,Port Harcourt,North-East,Delivered,25500000,Late
APX1198,4/19/2025,Pz,Cement,2500,850000,3,Port Harcourt,North-East,Delivered,2125000000,Fast
APX1348,10/7/2025,Pz,Rice,89,4500,13,Unknown,South-South,Delivered,400500,Late
APX1148,10/6/2025,N/A,Cement,111,6500,3,Port Harcourt,South-South,Delivered,721500,Fast
APX1199,12/29/2025,Dangote,Noodles,30,44502,95,Port Harcourt,North-East,Delivered,1335060,Late
APX1092,7/25/2025,Dangote,Soap,30,6500,9,Port Harcourt,South-South,Delivered,195000,Late
APX1238,4/27/2025,Dangote,Sugar,30,6500,95,Lagos,South-South,Delivered,195000,Late
APX1085,11/11/2025,Nestle,Soap,12,1282,3,Port Harcourt,South-South,Delivered,15384,Fast
APX1107,9/10/2025,Unilever,Rice,107,4500,3,Lagos,South-South,Delivered,481500,Fast
APX1148,12/26/2025,Unilever,Rice,30,6500,3,Port Harcourt,South-South,Pending,195000,Fast
APX1415,10/13/2025,Unilever,Laptop,164,6500,95,Abuja,South-South,Pending,1066000,Late
APX1383,9/29/2025,Pz,Soap,30,36837,3,Lagos,South-West,Returned,1105110,Fast
APX1146,3/8/2025,Dangote,Laptop,12,4500,95,Port Harcourt,South-West,Cancelled,54000,Late
APX1014,10/7/2025,N/A,Noodles,12,800,9,Lagos,South-South,Delivered,9600,Late
APX1169,11/8/2025,N/A,Laptop,30,29943,95,Port Harcourt,South-West,Delivered,898290,Late
APX1001,3/9/2025,Nestle,Rice,12,4500,5,Port Harcourt,North-East,Returned,54000,Normal
APX1298,6/1/2025,Bua,Sugar,12,850000,95,Port Harcourt,South-South,Cancelled,10200000,Late
APX1419,5/4/2025,N/A,Sugar,188,850000,95,Lagos,South-South,Cancelled,159800000,Late
APX1226,4/30/2025,Pz,Laptop,2500,850000,95,Port Harcourt,South-South,Delivered,2125000000,Late
APX1231,9/17/2025,Pz,Sugar,26,6500,10,Port Harcourt,South-West,Delivered,169000,Late
APX1130,11/3/2025,Pz,Cement,41,850000,13,Lagos,South-South,Delivered,34850000,Late
APX1333,7/8/2025,Pz,Noodles,126,850000,13,Port Harcourt,South-West,Delivered,107100000,Late
APX1195,4/20/2025,Bua,Rice,2500,4500,95,Lagos,North-East,Returned,11250000,Late
APX1185,8/1/2025,Dangote,Soap,30,16891,9,Abuja,South-South,Returned,506730,Late
APX1367,12/6/2025,Pz,Laptop,12,27319,3,Kano,North-East,Delivered,327828,Fast
APX1181,2/21/2025,Dangote,Sugar,30,6500,2,Port Harcourt,South-South,Delivered,195000,Fast
APX1216,6/15/2025,Dangote,Soap,54,850000,11,Abuja,South-West,Delivered,45900000,Late
APX1403,5/25/2025,Unilever,Noodles,2500,6500,3,Port Harcourt,South-South,Delivered,16250000,Fast
APX1417,3/13/2025,Bua,Noodles,12,800,13,Port Harcourt,South-South,Delivered,9600,Late
APX1004,1/30/2025,Nestle,Laptop,2500,800,2,Port Harcourt,North-East,Cancelled,2000000,Fast
APX1394,3/12/2025,Unilever,Laptop,3,800,3,Lagos,South-South,Delivered,2400,Fast
APX1172,4/22/2025,Nestle,Laptop,2500,6500,3,Port Harcourt,South-South,Pending,16250000,Fast
APX1026,5/28/2025,Unilever,Cement,30,800,3,Port Harcourt,South-South,Delivered,24000,Fast
APX1069,3/7/2025,N/A,Laptop,30,49555,95,Port Harcourt,South-West,Delivered,1486650,Late
APX1380,3/1/2025,Bua,Soap,2500,10624,3,Lagos,South-South,Cancelled,26560000,Fast
APX1083,5/29/2025,Dangote,Cement,2500,800,12,Abuja,South-West,Delivered,2000000,Late
APX1382,11/26/2025,Bua,Soap,30,850000,95,Lagos,North-East,Delivered,25500000,Late
APX1428,11/28/2025,Dangote,Laptop,30,6500,12,Port Harcourt,South-West,Cancelled,195000,Late
APX1100,10/18/2025,Nestle,Laptop,179,6500,95,Port Harcourt,South-South,Returned,1163500,Late
APX1075,5/21/2025,Dangote,Soap,12,6500,95,Port Harcourt,North-East,Cancelled,78000,Late
APX1237,11/19/2025,Bua,Rice,30,9235,3,Kano,South-South,Delivered,277050,Fast
APX1213,10/30/2025,Nestle,Sugar,30,4500,95,Port Harcourt,South-West,Cancelled,135000,Late
